"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1003.3","1006.5","23.9","21.8","88","0.8","50","3.2","20","T","1.0","...","0.00","...","0","..."
"02","1002.6","1005.8","23.6","21.9","90","1.5","360","4.0","30","0.5","1.0","...","0.00","...","0","..."
"03","1002.1","1005.3","23.7","22.5","93","0.5","30","2.7","20","T","1.0","...","0.00","...","0","..."
"04","1002.6","1005.8","23.2","21.9","92","2.5","320","4.4","320","6.0","1.0","...","0.00","...","0","..."
"05","1002.7","1005.9","22.8","21.5","92","1.4","10","5.1","350","8.5","1.0","...","0.00","...","0","..."
"06","1004.5","1007.7","21.2","19.9","92","7.2","360","13.8","360","22.0","1.0","0.0","0.00","...","0","..."
"07","1006.2","1009.5","20.1","18.8","92","6.3","10","13.5","360","6.0","1.0","0.0","0.00","...","0","..."
"08","1007.3","1010.6","19.5","17.9","90","6.5","10","10.8","20","6.5","1.0","0.0","0.00","6.0","0","10.0"
"09","1007.9","1011.2","19.8","18.3","91","3.6","20","10.7","360","1.5","1.0","0.0","0.09","3.0","0","10.0"
"10","1008.4","1011.7","19.3","17.7","90","5.7","10","11.4","20","3.5","1.0","0.0","0.48","...","1","10.0"
"11","1008.7","1012.0","19.4","18.0","92","4.9","10","9.1","360","2.5","1.0","0.0","0.47","6.0","1","10.0"
"12","1008.1","1011.4","19.5","17.5","88","4.8","10","9.5","20","T","0.7","0.0","0.41","...","1","10.0"
"13","1007.9","1011.2","19.8","18.2","90","2.2","360","8.9","360","2.0","1.0","0.0","0.58","...","1","10.0"
"14","1007.3","1010.6","20.1","17.9","87","2.3","340","6.7","360","0.5","1.0","0.0","0.37","9.0","1","10.0"
"15","1007.0","1010.2","20.8","17.4","81","2.4","340","6.1","330","T","0.2","0.0","0.00","...","1","10.0"
"16","1007.4","1010.6","20.9","16.7","77","3.8","10","7.5","10","0.5","0.3","0.0","0.00","...","0","10.0"
"17","1007.8","1011.0","21.2","17.2","78","4.5","10","9.6","360","T","0.3","0.0","0.00","15.0","0","10.0"
"18","1008.2","1011.4","21.4","16.7","75","5.2","10","8.8","360","T","0.9","0.0","0.00","...","0","..."
"19","1008.9","1012.1","21.6","17.7","78","3.4","20","8.1","10","0.5","0.3","0.0","0.00","...","0","..."
"20","1009.8","1013.0","21.6","16.5","73","3.1","40","6.3","40","0.0","0.0","...","0.00","...","0","..."
"21","1010.5","1013.8","21.3","16.1","72","2.7","30","6.0","50","0.0","0.0","...","0.00","...","0","..."
"22","1011.0","1014.3","21.3","15.7","70","3.7","20","6.6","20","0.0","0.0","...","0.00","...","0","..."
"23","1010.8","1014.1","21.6","16.1","71","3.4","50","7.7","50","0.0","0.0","...","0.00","...","0","..."
"24","1010.4","1013.7","20.6","16.3","76","1.6","120","5.0","50","0.0","0.0","...","0.00","...","0","..."